abk_bahnhof,Name Haltestelle,lat,lon
BUSB,"Busswil BE, Bahnhof",47.09908738,7.319471902
MUEB,Münchenbuchsee,47.02137579,7.45194767
DON,Dotzigen,47.11867177,7.337754285
LYN,Lyss Nord,47.07834537,7.305450488
KIRG,"Kirchberg BE, Rosenweg",47.08818522,7.590437815
KZ,Kerzers,46.97507896,7.192810168
CRFR,Cressier FR,46.90018,7.149719998
GHZ,Grauholztunnel,47.00730604,7.496753949
BNAE,Bern Depot Aebimatte,46.95109091,7.425522571
LNGP,"Langnau i.E., Gerbeplatz",46.93780983,7.789806869
BUBA,"Büren an der Aare, Bahnhof",47.13808589,7.370724511
BNO,Bern Ost (Spw),46.95300773,7.441417344
RCH,Riedbach,46.9411543,7.334049965
STUA,Studen Auto,47.10764863,7.306294458
ROM,Romont FR,46.69350826,6.91181142
LATS,Längenschachen (See),46.72544357,7.679447544
THAB,Thun (Abzw),46.76013195,7.621222991
ZWGE,Zweisimmen Gleisende,46.55072446,7.37563724
EGLI,Eggli,47.36343886,9.435041478
WANS,Wanzwil Süd (Abzw),47.19921656,7.705210262
WAO,Wanzwil Ost (Abzw),47.2009727,7.711976177
WAPT,"Wattwil, Post",47.30279568,9.087306197
SGBP,"St. Gallen, Boppartshof",47.40310232,9.336536275
KURZ,Kurzrickenbach Seepark,47.64308084,9.196359371
SA,Sargans,47.04482351,9.446260475
SGKG,"St. Gallen, Kirche St. Georgen",47.41640775,9.382050861
CLSS,Colombier sous-station,46.55080937,6.460865222
LTO,Lausanne-Triage Ouest,46.52415667,6.523572184
CHVI,Chavornay-Industrie,46.71332957,6.559448846
ROCS,Roche VD sous-station,46.36453067,6.924473092
ZUEH,"Zürich, Hegibachplatz",47.36169015,8.560622542
ZUEB,"Zürich, Balgrist",47.35457805,8.57502031
CHCH,Château-de-Chillon (lac),46.41288661,6.92920315
NYCG,Nyon (lac),46.38229168,6.24356065
STVI,St-Triphon-Village,46.30207,6.975789994
GIBU,Gilly-Bursinel,46.44506816,6.306363256
HUEW,Hüntwangen-Wil,47.5812689,8.51284805
VTZ,Vitznau,47.00935915,8.482382715
RODN,Rochers-de-Naye,46.43167999,6.979019997
TOV,Toveyre,46.4279,6.928469998
SIR,Sirnach,47.4619971,9.000474259
LSA,La Sarraz,46.65878497,6.517361005
TREL,Trélex,46.41371999,6.206420004
STCE,St-Cergue,46.44861,6.160360001
PLAN,Les Plantaz,46.39115999,6.229030001
REIT,Reichenau-Tamins,46.82366,9.412549995
WTOE,Winterthur Töss,47.48980638,8.709309943
KRA,Kradolf,47.52472244,9.20157506
RMZ,Rämismühle-Zell,47.44153899,8.819137325
ECL,Eclépens,46.65719066,6.552421123
HD,Hallwil,47.32863876,8.175949455
BGVL,Brugg AG VL,47.47489803,8.205051102
CHAJ,Chardonne-Jongny,46.47701242,6.833060311
TECG,Territet (lac),46.42570143,6.922317777
ROCG,Rolle (lac),46.45498965,6.337281314
BEMG,Betten Talstation,46.37115787,8.076519853
CFO,La Chaux-de-Fonds Les Forges,47.09133532,6.81278026
BLHW,"Bütschwil, Hofwiesen",47.36347811,9.073241574
LGSL,"Lichtensteig, St. Loreto",47.33012779,9.084710732
RONW,"Roggliswil, Niederwil",47.21453167,7.88862246
YND,Yvonand,46.80087549,6.746687333
DE,Domat/Ems,46.83314,9.453160003
DAM,Davos Monstein,46.71591,9.760009997
WEIA,Winterthur Eichliacker (Vzw),47.48810781,8.71370103
HDKN,Hendschiken Nord (Abzw),47.3911715,8.205521267
SURS,"St. Urban, Sonnhalden",47.22263895,7.849252953
SGSL,"St. Gallen, St.Leonhard",47.42083387,9.367034236
SBSW,"Strengelbach, Schürliweg",47.2856977,7.93268471
GRVT,Tunnel de Grandvaux,46.49763634,6.727131699
BRGG,Brunegg,47.4204148,8.221690085
RENO,Renens VD Ouest (bif),46.54078829,6.572087007
GLCO,Glion-Collège,46.43478033,6.928736778
GROB,"Grengiols, Oberdeisch",46.38065248,8.104668941
